Wavelength (nm),Schwarzes_Silizium,Wavelength (nm),Si_Waver,Wavelength (nm),Si_Waver_Matt,Wavelength (nm),Si_amorph,Wavelength (nm),Pyramide,Wavelength (nm),AR_Glanzend,Wavelength (nm),AR_Matt,
1840,38.67011261,1840,49.84099579,1840,48.35262299,1840,68.35691071,1840,23.11053467,1840,34.2677269,1840,28.04706383,
1839,38.63803482,1839,49.85316086,1839,48.3225708,1839,68.84880829,1839,23.10928917,1839,34.25747299,1839,28.03902626,
1838,38.61985397,1838,49.85831451,1838,48.31777954,1838,69.35211182,1838,23.10251236,1838,34.23511124,1838,28.00936317,
1837,38.61235809,1837,49.85572433,1837,48.34946823,1837,69.82463837,1837,23.08757782,1837,34.24807358,1837,28.0259552,
1836,38.5909729,1836,49.85402298,1836,48.31477737,1836,70.33329773,1836,23.10880661,1836,34.25040436,1836,28.03710175,
1835,38.58330917,1835,49.87528992,1835,48.31801224,1835,70.8099823,1835,23.0915184,1835,34.25279999,1835,28.02967072,
1834,38.56178284,1834,49.85630035,1834,48.34357452,1834,71.26068878,1834,23.1031189,1834,34.26454163,1834,28.02998161,
1833,38.53936768,1833,49.86667633,1833,48.30286407,1833,71.71424103,1833,23.12501907,1833,34.25686646,1833,28.0164547,
1832,38.53918839,1832,49.87939072,1832,48.33019257,1832,72.19644165,1832,23.11091805,1832,34.25701523,1832,28.02087402,
1831,38.49943924,1831,49.88564301,1831,48.34757614,1831,72.61568451,1831,23.1206646,1831,34.26094818,1831,28.02322769,
1830,38.5075264,1830,49.87420273,1830,48.32723618,1830,73.06877899,1830,23.10772705,1830,34.27404785,1830,28.02591896,
1829,38.48433685,1829,49.87750626,1829,48.3243866,1829,73.48462677,1829,23.10022354,1829,34.26490021,1829,28.01501846,
1828,38.47049713,1828,49.86684036,1828,48.317173,1828,73.89816284,1828,23.11348724,1828,34.24960709,1828,28.02117157,
1827,38.4588089,1827,49.8944397,1827,48.33016586,1827,74.27966309,1827,23.12243271,1827,34.26969528,1827,28.04003716,
1826,38.45000839,1826,49.88697052,1826,48.32622147,1826,74.71327972,1826,23.10102081,1826,34.25175858,1826,28.00499153,
1825,38.42864227,1825,49.88638306,1825,48.3257637,1825,75.10336304,1825,23.10469055,1825,34.2650795,1825,28.01250839,
1824,38.4353714,1824,49.91081238,1824,48.33782196,1824,75.48342896,1824,23.11872673,1824,34.25679779,1824,28.03230858,
1823,38.41765976,1823,49.88733292,1823,48.31867981,1823,75.85243988,1823,23.10743713,1823,34.25521851,1823,28.01847458,
1822,38.40890503,1822,49.89203262,1822,48.31769562,1822,76.22863007,1822,23.09845734,1822,34.26111984,1822,28.01587677,
1821,38.39228821,1821,49.88432693,1821,48.33692932,1821,76.57659912,1821,23.10236168,1821,34.26224136,1821,28.02120399,
1820,38.37007523,1820,49.90976715,1820,48.32232285,1820,76.9404068,1820,23.09813118,1820,34.28066254,1820,28.02780342,
1819,38.37403107,1819,49.88878632,1819,48.29827881,1819,77.29833984,1819,23.09960365,1819,34.26852036,1819,28.00763893,
1818,38.34846497,1818,49.89375305,1818,48.31388474,1818,77.61018372,1818,23.11683846,1818,34.26782227,1818,28.01407814,
1817,38.37073135,1817,49.90806961,1817,48.33066559,1817,77.94702911,1817,23.11090088,1817,34.25241852,1817,28.0089016,
1816,38.35826111,1816,49.90816879,1816,48.32532883,1816,78.28708649,1816,23.09025383,1816,34.28029251,1816,28.01901627,
1815,38.36587524,1815,49.89601517,1815,48.31211853,1815,78.58956146,1815,23.09897423,1815,34.28061676,1815,28.00320053,
1814,38.3404541,1814,49.90909576,1814,48.33142471,1814,78.94122314,1814,23.12514496,1814,34.27484131,1814,28.00957298,
1813,38.35220337,1813,49.91575623,1813,48.31941223,1813,79.24497986,1813,23.10528755,1813,34.30525589,1813,28.01039886,
1812,38.31492615,1812,49.90950394,1812,48.32839966,1812,79.58062744,1812,23.1103878,1812,34.28571701,1812,28.01676369,
