Single
3648
Scan 0,   
1593, 78.0
1594, 85.0
1595, 80.0
1596, 80.0
1597, 83.0
1598, 81.0
1599, 84.0
1600, 77.0
1601, 77.0
1602, 77.0
1603, 82.0
1604, 80.0
1605, 77.0
1606, 84.0
1607, 83.0
1608, 81.0
1609, 75.0
1610, 79.0
1611, 80.0
1612, 79.0
1613, 83.0
1614, 77.0
1615, 80.0
1616, 84.0
1617, 76.0
1618, 80.0
1619, 77.0
1620, 79.0
1621, 82.0
1622, 80.0
1623, 75.0
1624, 79.0
1625, 76.0
1626, 82.0
1627, 81.0
1628, 80.0
1629, 79.0
1630, 80.0
1631, 80.0
1632, 82.0
1633, 80.0
1634, 82.0
1635, 78.0
1636, 83.0
1637, 84.0
1638, 84.0
1639, 82.0
1640, 81.0
1641, 76.0
1642, 81.0
1643, 77.0
1644, 85.0
1645, 80.0
1646, 79.0
1647, 82.0
1648, 82.0
1649, 82.0
1650, 80.0
1651, 81.0
1652, 85.0
1653, 78.0
1654, 85.0
1655, 84.0
1656, 84.0
1657, 83.0
1658, 84.0
1659, 80.0
1660, 83.0
1661, 79.0
1662, 86.0
1663, 78.0
1664, 84.0
1665, 80.0
1666, 82.0
1667, 80.0
1668, 86.0
1669, 83.0
1670, 89.0
1671, 80.0
1672, 83.0
1673, 84.0
1674, 80.0
1675, 78.0
1676, 84.0
1677, 78.0
1678, 85.0
1679, 82.0
1680, 84.0
1681, 81.0
1682, 83.0
1683, 85.0
1684, 88.0
1685, 81.0
1686, 84.0
1687, 84.0
1688, 85.0
1689, 87.0
1690, 84.0
1691, 82.0
1692, 88.0
1693, 82.0
1694, 86.0
1695, 79.0
1696, 87.0
1697, 83.0
1698, 87.0
1699, 84.0
1700, 82.0
1701, 81.0
1702, 95.0
1703, 83.0
1704, 85.0
1705, 91.0
1706, 87.0
1707, 80.0
1708, 82.0
1709, 88.0
1710, 80.0
1711, 87.0
1712, 86.0
1713, 88.0
1714, 88.0
1715, 83.0
1716, 92.0
1717, 87.0
1718, 87.0
1719, 89.0
1720, 90.0
1721, 93.0
1722, 89.0
1723, 89.0
1724, 90.0
1725, 90.0
1726, 92.0
1727, 90.0
1728, 88.0
1729, 91.0
1730, 86.0
1731, 91.0
1732, 93.0
1733, 93.0
1734, 98.0
1735, 88.0
1736, 93.0
1737, 90.0
1738, 91.0
1739, 95.0
1740, 96.0
1741, 91.0
1742, 95.0
1743, 90.0
1744, 98.0
1745,101.0
1746,100.0
1747, 99.0
1748, 98.0
1749,101.0
1750,109.0
1751,103.0
1752,108.0
1753,100.0
1754,108.0
1755,105.0
1756,111.0
1757,120.0
1758,116.0
1759,121.0
1760,119.0
1761,124.0
1762,116.0
1763,115.0
1764,122.0
1765,127.0
1766,132.0
1767,135.0
1768,156.0
1769,149.0
1770,148.0
1771,128.0
1772,136.0
1773,134.0
1774,150.0
1775,157.0
1776,190.0
1777,191.0
1778,200.0
1779,184.0
1780,176.0
1781,191.0
1782,242.0
1783,300.0
1784,423.0
1785,473.0
1786,434.0
1787,375.0
1788,439.0
1789,677.0
1790,1157.0
1791,1782.0
1792,2472.0
1793,3092.0
1794,3535.0
1795,3701.0
1796,3698.0
1797,3258.0
1798,2447.0
1799,1422.0
1800,697.0
1801,360.0
1802,311.0
1803,338.0
1804,353.0
1805,319.0
1806,293.0
1807,231.0
1808,186.0
1809,158.0
1810,150.0
1811,144.0
1812,161.0
1813,166.0
1814,178.0
1815,165.0
1816,170.0
1817,154.0
1818,144.0
1819,128.0
1820,130.0
1821,124.0
1822,136.0
1823,126.0
1824,134.0
1825,127.0
1826,136.0
1827,127.0
1828,125.0
1829,113.0
1830,120.0
1831,113.0
1832,116.0
1833,105.0
1834,114.0
1835,105.0
1836,113.0
1837,107.0
1838,111.0
1839,106.0
1840,108.0
1841,101.0
1842,105.0
1843,104.0
1844,107.0
1845,103.0
1846,104.0
1847,102.0
1848,104.0
1849, 93.0
1850, 96.0
1851,102.0
1852,100.0
1853, 90.0
1854,100.0
1855, 99.0
1856, 98.0
1857, 92.0
1858, 95.0
1859, 92.0
1860, 95.0
1861, 93.0
1862, 99.0
1863, 95.0
1864, 97.0
1865, 95.0
1866, 97.0
1867, 92.0
1868, 91.0
1869, 91.0
1870, 96.0
1871, 96.0
1872, 96.0
1873, 88.0
1874, 92.0
1875, 90.0
1876, 89.0
1877, 85.0
