Single
3648
Scan 0,   
938, 76.0
939, 77.0
940, 73.0
941, 79.0
942, 76.0
943, 76.0
944, 76.0
945, 72.0
946, 72.0
947, 73.0
948, 71.0
949, 76.0
950, 75.0
951, 72.0
952, 75.0
953, 79.0
954, 72.0
955, 76.0
956, 74.0
957, 74.0
958, 74.0
959, 74.0
960, 77.0
961, 77.0
962, 75.0
963, 81.0
964, 80.0
965, 79.0
966, 82.0
967, 73.0
968, 79.0
969, 75.0
970, 73.0
971, 77.0
972, 79.0
973, 72.0
974, 76.0
975, 76.0
976, 77.0
977, 75.0
978, 73.0
979, 72.0
980, 72.0
981, 78.0
982, 78.0
983, 71.0
984, 75.0
985, 80.0
986, 75.0
987, 74.0
988, 76.0
989, 78.0
990, 77.0
991, 75.0
992, 72.0
993, 76.0
994, 77.0
995, 77.0
996, 73.0
997, 76.0
998, 73.0
999, 77.0
1000, 77.0
1001, 78.0
1002, 78.0
1003, 76.0
1004, 72.0
1005, 81.0
1006, 74.0
1007, 77.0
1008, 77.0
1009, 75.0
1010, 80.0
1011, 72.0
1012, 75.0
1013, 80.0
1014, 74.0
1015, 76.0
1016, 76.0
1017, 75.0
1018, 77.0
1019, 74.0
1020, 74.0
1021, 75.0
1022, 76.0
1023, 80.0
1024, 77.0
1025, 78.0
1026, 74.0
1027, 74.0
1028, 76.0
1029, 76.0
1030, 80.0
1031, 71.0
1032, 82.0
1033, 74.0
1034, 77.0
1035, 75.0
1036, 75.0
1037, 78.0
1038, 77.0
1039, 75.0
1040, 78.0
1041, 74.0
1042, 80.0
1043, 77.0
1044, 78.0
1045, 78.0
1046, 73.0
1047, 78.0
1048, 75.0
1049, 80.0
1050, 76.0
1051, 78.0
1052, 74.0
1053, 74.0
1054, 73.0
1055, 75.0
1056, 72.0
1057, 76.0
1058, 75.0
1059, 76.0
1060, 73.0
1061, 78.0
1062, 76.0
1063, 74.0
1064, 74.0
1065, 76.0
1066, 74.0
1067, 77.0
1068, 76.0
1069, 79.0
1070, 77.0
1071, 72.0
1072, 78.0
1073, 73.0
1074, 80.0
1075, 76.0
1076, 76.0
1077, 74.0
1078, 76.0
1079, 78.0
1080, 78.0
1081, 75.0
1082, 76.0
1083, 73.0
1084, 76.0
1085, 77.0
1086, 74.0
1087, 78.0
1088, 73.0
1089, 79.0
1090, 72.0
1091, 73.0
1092, 74.0
1093, 72.0
1094, 74.0
1095, 79.0
1096, 81.0
1097, 75.0
1098, 74.0
1099, 76.0
1100, 80.0
1101, 78.0
1102, 75.0
1103, 80.0
1104, 74.0
1105, 77.0
1106, 73.0
1107, 77.0
1108, 74.0
1109, 74.0
1110, 75.0
1111, 81.0
1112, 76.0
1113, 80.0
1114, 74.0
1115, 75.0
1116, 75.0
1117, 77.0
1118, 74.0
1119, 77.0
1120, 71.0
1121, 72.0
1122, 78.0
1123, 73.0
1124, 80.0
1125, 75.0
1126, 74.0
1127, 74.0
1128, 74.0
1129, 78.0
1130, 79.0
1131, 75.0
1132, 80.0
1133, 74.0
1134, 78.0
1135, 77.0
1136, 83.0
1137, 74.0
1138, 79.0
1139, 74.0
1140, 73.0
1141, 78.0
1142, 80.0
1143, 79.0
1144, 74.0
1145, 78.0
1146, 77.0
1147, 73.0
1148, 76.0
1149, 75.0
1150, 73.0
1151, 75.0
1152, 78.0
1153, 79.0
1154, 74.0
1155, 77.0
1156, 74.0
1157, 74.0
1158, 76.0
1159, 78.0
1160, 76.0
1161, 71.0
1162, 76.0
1163, 78.0
1164, 77.0
1165, 79.0
1166, 76.0
1167, 72.0
1168, 73.0
1169, 80.0
1170, 73.0
1171, 79.0
1172, 79.0
1173, 77.0
1174, 77.0
1175, 76.0
1176, 75.0
1177, 81.0
1178, 82.0
1179, 77.0
1180, 72.0
1181, 78.0
1182, 71.0
1183, 80.0
1184, 73.0
1185, 73.0
1186, 73.0
1187, 76.0
1188, 74.0
1189, 75.0
1190, 75.0
1191, 76.0
1192, 69.0
1193, 74.0
1194, 72.0
1195, 74.0
1196, 76.0
1197, 74.0
1198, 77.0
1199, 74.0
1200, 76.0
1201, 74.0
1202, 78.0
1203, 76.0
1204, 74.0
1205, 77.0
1206, 79.0
1207, 75.0
1208, 78.0
1209, 74.0
1210, 79.0
1211, 76.0
1212, 71.0
1213, 76.0
1214, 72.0
1215, 78.0
1216, 75.0
1217, 74.0
1218, 74.0
1219, 73.0
1220, 74.0
1221, 77.0
1222, 77.0
1223, 71.0
1224, 76.0
1225, 70.0
1226, 73.0
1227, 74.0
1228, 74.0
1229, 75.0
1230, 77.0
1231, 74.0
1232, 75.0
1233, 76.0
1234, 78.0
1235, 78.0
1236, 74.0
1237, 73.0
1238, 78.0
1239, 76.0
1240, 73.0
1241, 73.0
1242, 72.0
1243, 74.0
1244, 75.0
1245, 75.0
1246, 76.0
1247, 74.0
1248, 74.0
1249, 81.0
1250, 71.0
1251, 73.0
1252, 75.0
1253, 78.0
1254, 74.0
1255, 72.0
1256, 71.0
1257, 73.0
1258, 77.0
1259, 75.0
1260, 74.0
1261, 77.0
1262, 75.0
1263, 74.0
1264, 72.0
1265, 75.0
1266, 72.0
1267, 79.0
1268, 77.0
1269, 74.0
1270, 71.0
1271, 72.0
1272, 74.0
1273, 76.0
1274, 76.0
1275, 75.0
1276, 79.0
1277, 76.0
1278, 77.0
1279, 75.0
1280, 77.0
1281, 75.0
1282, 75.0
1283, 74.0
1284, 78.0
1285, 74.0
1286, 77.0
1287, 76.0
1288, 73.0
1289, 78.0
1290, 74.0
1291, 73.0
1292, 72.0
1293, 76.0
1294, 73.0
1295, 72.0
1296, 72.0
1297, 74.0
1298, 71.0
1299, 75.0
1300, 75.0
1301, 71.0
1302, 75.0
1303, 79.0
1304, 77.0
1305, 74.0
1306, 78.0
1307, 77.0
1308, 79.0
1309, 76.0
1310, 74.0
1311, 76.0
1312, 78.0
1313, 76.0
1314, 73.0
1315, 71.0
1316, 76.0
1317, 79.0
1318, 70.0
1319, 71.0
1320, 74.0
1321, 75.0
1322, 77.0
1323, 78.0
1324, 79.0
1325, 76.0
1326, 78.0
1327, 74.0
1328, 73.0
1329, 73.0
1330, 76.0
1331, 77.0
1332, 76.0
1333, 78.0
1334, 76.0
1335, 78.0
1336, 79.0
1337, 76.0
1338, 73.0
1339, 77.0
1340, 71.0
1341, 77.0
1342, 71.0
1343, 75.0
1344, 74.0
1345, 76.0
1346, 77.0
1347, 78.0
1348, 74.0
1349, 74.0
1350, 78.0
1351, 74.0
1352, 72.0
1353, 72.0
1354, 75.0
1355, 75.0
1356, 77.0
1357, 72.0
1358, 76.0
1359, 77.0
1360, 74.0
1361, 76.0
1362, 78.0
1363, 73.0
1364, 77.0
1365, 78.0
1366, 74.0
1367, 77.0
1368, 73.0
1369, 83.0
1370, 76.0
1371, 78.0
1372, 83.0
1373, 76.0
1374, 80.0
1375, 72.0
1376, 77.0
1377, 75.0
1378, 80.0
1379, 77.0
1380, 78.0
1381, 76.0
1382, 74.0
1383, 74.0
1384, 74.0
1385, 76.0
1386, 74.0
1387, 76.0
1388, 76.0
1389, 77.0
1390, 73.0
1391, 73.0
1392, 73.0
1393, 78.0
1394, 72.0
1395, 76.0
1396, 74.0
1397, 71.0
1398, 75.0
1399, 75.0
1400, 74.0
1401, 75.0
1402, 78.0
1403, 72.0
1404, 76.0
1405, 73.0
1406, 71.0
1407, 74.0
1408, 72.0
1409, 75.0
1410, 76.0
1411, 74.0
1412, 74.0
1413, 76.0
1414, 74.0
1415, 76.0
1416, 79.0
1417, 74.0
1418, 80.0
1419, 74.0
1420, 76.0
1421, 80.0
1422, 70.0
1423, 74.0
1424, 72.0
1425, 74.0
1426, 75.0
1427, 78.0
1428, 74.0
1429, 74.0
1430, 73.0
1431, 71.0
1432, 74.0
1433, 74.0
1434, 75.0
1435, 75.0
1436, 74.0
1437, 78.0
1438, 73.0
1439, 74.0
1440, 76.0
1441, 77.0
1442, 76.0
1443, 75.0
1444, 75.0
1445, 73.0
1446, 72.0
1447, 75.0
1448, 78.0
1449, 73.0
1450, 75.0
1451, 73.0
1452, 77.0
1453, 78.0
1454, 74.0
1455, 76.0
1456, 73.0
1457, 70.0
1458, 76.0
1459, 71.0
1460, 73.0
1461, 79.0
1462, 74.0
1463, 74.0
1464, 78.0
1465, 70.0
1466, 72.0
1467, 73.0
1468, 76.0
1469, 75.0
1470, 80.0
1471, 76.0
1472, 71.0
1473, 75.0
1474, 74.0
1475, 76.0
1476, 73.0
1477, 78.0
1478, 72.0
1479, 72.0
1480, 72.0
1481, 78.0
1482, 72.0
1483, 71.0
1484, 74.0
1485, 76.0
1486, 74.0
1487, 69.0
1488, 69.0
1489, 74.0
1490, 73.0
1491, 76.0
1492, 70.0
1493, 75.0
1494, 77.0
1495, 75.0
1496, 76.0
1497, 74.0
1498, 78.0
1499, 76.0
1500, 73.0
1501, 76.0
1502, 72.0
1503, 72.0
1504, 75.0
1505, 73.0
1506, 75.0
1507, 73.0
1508, 75.0
1509, 73.0
1510, 79.0
1511, 74.0
1512, 73.0
1513, 73.0
1514, 69.0
1515, 73.0
1516, 75.0
1517, 77.0
1518, 71.0
1519, 73.0
1520, 74.0
1521, 78.0
1522, 77.0
1523, 74.0
1524, 75.0
1525, 73.0
1526, 73.0
1527, 73.0
1528, 79.0
1529, 73.0
1530, 78.0
1531, 75.0
1532, 71.0
1533, 71.0
1534, 70.0
1535, 74.0
1536, 77.0
1537, 72.0
1538, 74.0
1539, 75.0
1540, 77.0
1541, 71.0
1542, 77.0
1543, 80.0
1544, 73.0
1545, 74.0
1546, 75.0
1547, 74.0
1548, 74.0
1549, 75.0
1550, 71.0
1551, 78.0
1552, 74.0
1553, 73.0
1554, 72.0
1555, 76.0
1556, 72.0
1557, 73.0
1558, 79.0
1559, 73.0
1560, 70.0
1561, 71.0
1562, 78.0
1563, 74.0
1564, 75.0
1565, 76.0
1566, 75.0
1567, 72.0
1568, 76.0
1569, 70.0
1570, 74.0
1571, 78.0
1572, 73.0
1573, 78.0
1574, 75.0
1575, 75.0
1576, 73.0
1577, 73.0
1578, 75.0
1579, 70.0
1580, 78.0
1581, 76.0
1582, 75.0
1583, 76.0
1584, 77.0
1585, 73.0
1586, 73.0
1587, 74.0
1588, 74.0
1589, 75.0
1590, 77.0
1591, 74.0
1592, 72.0
1593, 72.0
1594, 76.0
1595, 72.0
1596, 73.0
1597, 76.0
1598, 78.0
1599, 76.0
1600, 70.0
1601, 77.0
1602, 75.0
1603, 79.0
1604, 72.0
1605, 72.0
1606, 72.0
1607, 69.0
1608, 73.0
1609, 72.0
1610, 75.0
1611, 69.0
1612, 74.0
1613, 75.0
1614, 79.0
1615, 76.0
1616, 71.0
1617, 77.0
1618, 79.0
1619, 76.0
1620, 78.0
1621, 75.0
1622, 77.0
1623, 69.0
1624, 73.0
1625, 76.0
1626, 76.0
1627, 72.0
1628, 74.0
1629, 75.0
1630, 74.0
1631, 78.0
1632, 70.0
1633, 78.0
1634, 72.0
1635, 75.0
1636, 83.0
1637, 70.0
1638, 75.0
1639, 76.0
1640, 76.0
1641, 76.0
1642, 76.0
1643, 73.0
1644, 77.0
1645, 74.0
1646, 76.0
1647, 75.0
1648, 75.0
1649, 75.0
1650, 75.0
1651, 75.0
1652, 73.0
1653, 73.0
1654, 78.0
1655, 76.0
1656, 77.0
1657, 73.0
1658, 73.0
1659, 76.0
1660, 79.0
1661, 74.0
